name,url,category,source,decisionMaker,notes
Dinosaur Designs,https://dinosaurdesigns.com.au,potential_lead,excel-leads.csv,,
En Gold,https://engold.com.au,potential_lead,excel-leads.csv,,
Boteh,https://boteh.com.au,potential_lead,excel-leads.csv,,
Style Magazines,https://stylemagazines.com.au,media,excel-leads.csv,,
Alpha60,https://www.alpha60.com.au,fashion,fashion-art-leads.csv,,
Kuwaii,https://kuwaii.com.au,fashion,fashion-art-leads.csv,,
FME Apparel,https://www.fmeapparel.com.au,fashion,fashion-art-leads.csv,,
Vow Studio,https://vowstudio.com.au,fashion,fashion-art-leads.csv,,
Sister Studios,https://sisterstudios.com.au,fashion,fashion-art-leads.csv,,
Ngali,https://ngali.com.au,fashion,fashion-art-leads.csv,,
Caves Collect,https://cavescollect.com,fashion,fashion-art-leads.csv,,
No Vacancy,https://www.no-vacancy.com.au,gallery,fashion-art-leads.csv,,
Outré Gallery,https://www.outregallery.com,gallery,fashion-art-leads.csv,,
Blindside,https://blindside.org.au,gallery,fashion-art-leads.csv,,
Seventh Gallery,https://seventhgallery.org,gallery,fashion-art-leads.csv,,
