name,url,category,address,rating,source,query,scrapedDate
Kuwaii,http://kuwaii.com.au/,Women's clothing store,"37 Swanston St, Melbourne VIC 3000",5.0 stars ,google_maps,fashion brand melbourne,2026-03-11
dot COMME,http://www.dotcomme.net/,Clothing store,"Curtin House, Level 4/252 Swanston St, Melbourne VIC 3000",4.2 stars ,google_maps,fashion brand melbourne,2026-03-11
Mars King Fashion Retail Store,https://marskingstudio.com.au/,Clothing store,"Level 3/2 Salmon St, Port Melbourne VIC 3207",4.8 stars ,google_maps,fashion brand melbourne,2026-03-11
Lana Berg,http://www.lanaberg.com.au/,Clothing store,"346 Clarendon St, South Melbourne VIC 3205",4.8 stars ,google_maps,fashion brand melbourne,2026-03-11
Favrik - Melbourne,http://www.favrik.com.au/,Clothing store,"Emporium, Lower Ground, Shop 27a/287 Lonsdale St, Melbourne VIC 3000",5.0 stars ,google_maps,fashion brand melbourne,2026-03-11
P.A.M. Store Melbourne,https://perksandmini.com/,Clothing store,"Level 3/252 Swanston St, Melbourne VIC 3000",4.6 stars ,google_maps,fashion brand melbourne,2026-03-11
Le Style Boutique,http://www.lestyle.com.au/,Clothing store,"136 Little Collins St, Melbourne VIC 3000",4.8 stars ,google_maps,fashion brand melbourne,2026-03-11
ALPHA60 Flinders Lane,http://www.alpha60.com.au/,Clothing store,"201 Flinders Ln, Melbourne VIC 3000",4.6 stars ,google_maps,fashion brand melbourne,2026-03-11
Swensk,https://swensk.com/,Clothing store,"1/230 Little Collins St, Melbourne VIC 3000",5.0 stars ,google_maps,fashion brand melbourne,2026-03-11
rpmmelbourne,http://www.rpmmelbourne.com.au/,Clothing store,"162 Elgin St, Carlton VIC 3053",4.9 stars ,google_maps,fashion brand melbourne,2026-03-11
